,n,montecarlo10^5,montecarlo10^2,convolution
0,2.0,0.6864619255065918,0.001165628433227539,0.035613059997558594
1,3.0,0.6761767864227295,0.005102872848510742,0.0009648799896240234
2,4.0,1.1234140396118164,0.003721952438354492,0.0004391670227050781
3,5.0,1.879847764968872,0.008270025253295898,0.000530242919921875
4,6.0,2.6154940128326416,0.008918046951293945,0.000614166259765625
5,7.0,3.522319793701172,0.0075681209564208984,0.0010619163513183594
6,8.0,4.500166177749634,0.009852886199951172,0.0008690357208251953
7,9.0,5.709229230880737,0.01202082633972168,0.0010576248168945312
8,10.0,6.810852766036987,0.022083044052124023,0.001238107681274414
9,11.0,8.168801069259644,0.03228282928466797,0.001569986343383789
10,12.0,9.982764959335327,0.03398394584655762,0.0017271041870117188
11,13.0,11.628942012786865,0.039553165435791016,0.0019240379333496094
12,14.0,13.289705991744995,0.03788900375366211,0.007818937301635742
13,15.0,15.281982183456421,0.0624241828918457,0.0024597644805908203
14,16.0,17.0039279460907,0.05381512641906738,0.0027577877044677734
15,17.0,20.060450077056885,0.06178474426269531,0.00861215591430664
16,18.0,22.086642026901245,0.05705118179321289,0.0034368038177490234
17,19.0,24.154698371887207,0.1009681224822998,0.0038290023803710938
18,20.0,27.33124089241028,0.10122013092041016,0.004185914993286133
19,21.0,29.874736309051514,0.10079312324523926,0.004544973373413086
20,22.0,32.26546669006348,0.09519696235656738,0.006376981735229492
21,23.0,36.102362871170044,0.1084599494934082,0.005565166473388672
22,24.0,38.19585204124451,0.13794398307800293,0.00590205192565918
23,25.0,41.733971118927,0.11749720573425293,0.006356000900268555
24,26.0,44.125967025756836,0.14292192459106445,0.006936073303222656
25,27.0,48.108680963516235,0.1520240306854248,0.014724016189575195
26,28.0,52.83804512023926,0.16525697708129883,0.007998943328857422
27,29.0,55.91667032241821,0.17180228233337402,0.0084228515625
28,30.0,60.12132382392883,0.19565320014953613,0.01607990264892578
29,31.0,64.9363489151001,0.20158624649047852,0.009383201599121094
30,32.0,68.72299385070801,0.23109030723571777,0.010233879089355469
31,33.0,72.35489702224731,0.21690893173217773,0.01041722297668457
32,34.0,77.18305897712708,0.2420661449432373,0.01101994514465332
33,35.0,81.1733329296112,0.24213910102844238,0.011588096618652344
34,36.0,86.79678511619568,0.2624080181121826,0.013129949569702148
35,37.0,91.42322206497192,0.26090478897094727,0.01314091682434082
36,38.0,96.375657081604,0.2690761089324951,0.013678789138793945
37,39.0,101.7770848274231,0.2825441360473633,0.014373779296875
38,40.0,107.46333479881287,0.2886018753051758,0.016518115997314453
39,41.0,112.77736496925354,0.2993133068084717,0.01763606071472168
40,42.0,118.37180209159851,0.30953502655029297,0.0173032283782959
41,43.0,124.51449584960938,0.31540822982788086,0.017958879470825195
42,44.0,131.17124676704407,0.35931897163391113,0.02005290985107422
43,45.0,136.1612799167633,0.3414900302886963,0.018957138061523438
44,46.0,141.99609184265137,0.4209327697753906,0.023019075393676758
45,47.0,149.1495349407196,0.3694338798522949,0.022397756576538086
46,48.0,156.656240940094,0.39235901832580566,0.022192955017089844
47,49.0,160.61852979660034,0.39528822898864746,0.022968769073486328
