,n,integration,montecarlo,convolution
0,2.0,5.599096775054932,0.003156900405883789,0.02483201026916504
1,3.0,9.220340967178345,0.002209186553955078,0.002190828323364258
2,4.0,14.480620622634888,0.002846956253051758,0.0007877349853515625
3,5.0,21.29584503173828,0.004025936126708984,0.0006268024444580078
4,6.0,28.897055864334106,0.00549769401550293,0.0005900859832763672
5,7.0,38.0090696811676,0.0073893070220947266,0.0007359981536865234
6,8.0,48.97058415412903,0.009277105331420898,0.0008769035339355469
7,9.0,60.48599290847778,0.011653900146484375,0.0010380744934082031
8,10.0,74.27303695678711,0.013948202133178711,0.0011870861053466797
9,11.0,88.94486594200134,0.01708817481994629,0.0014338493347167969
10,12.0,105.33155512809753,0.01994919776916504,0.001580953598022461
11,13.0,123.01983785629272,0.02356410026550293,0.0018811225891113281
12,14.0,142.79329466819763,0.02758312225341797,0.0023958683013916016
13,15.0,161.61779880523682,0.03079390525817871,0.002348184585571289
14,16.0,185.27923393249512,0.036232948303222656,0.002986907958984375
15,17.0,207.352392911911,0.04038190841674805,0.0033180713653564453
16,18.0,232.30401301383972,0.05466485023498535,0.007539987564086914
17,19.0,254.02215600013733,0.0487370491027832,0.003696918487548828
